CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;1;17.4;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;2;18.8;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;3;15.7;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;4;18.5;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;5;17.1;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;6;14.8;21.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;7;18.5;21.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;8;13.8;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;9;14.4;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;10;18.0;21.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;11;18.3;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;12;15.9;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;13;15.3;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;14;16.0;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;15;18.2;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;16;17.3;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;17;18.1;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;18;;20.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;19;;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;20;;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;21;14.2;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;22;16.8;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;23;13.4;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;24;;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;25;17.1;19.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;26;;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;27;16.3;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;28;17.8;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;29;15.3;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;30;;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;5;31;18.6;21.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;1;16.4;21.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;2;15.9;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;3;15.7;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;4;17.7;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;5;16.2;21.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;6;15.9;20.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;7;16.7;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;8;15.0;21.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;9;15.4;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;10;17.9;21.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;11;18.3;21.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;12;16.8;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;13;15.5;21.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;14;17.4;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;15;16.4;20.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;16;16.7;20.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;17;17.0;19.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;18;14.5;19.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;19;14.0;19.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;20;14.1;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;21;14.3;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;22;14.1;19.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;23;16.3;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;24;16.0;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;25;16.3;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;26;17.0;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;27;16.3;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;28;18.0;22.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;29;18.0;23.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;30;16.1;21.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;31;15.7;21.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;1;3.7;26.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;2;3.1;24.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;3;4.7;24.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;4;2.6;23.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;5;3.6;23.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;6;7.6;25.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;7;6.5;25.3
