,Año,X,Promedio,Y,promedio_temp,nom_reg,codreg
0,2018,-570853.5355895234,23.444603174603174,6890056.00846147,19.722865013774115,Región de Arica y Parinacota,15
1,2019,-570853.5355895234,25.524146341463414,6890056.00846147,19.49808219178082,Región de Arica y Parinacota,15
2,2020,-570853.5355895234,23.285820256776034,6890056.00846147,19.81793002915451,Región de Arica y Parinacota,15
3,2021,-570853.5355895234,20.840832558139535,6890056.00846147,20.265193370165758,Región de Arica y Parinacota,15
4,2018,-384617.5576065051,23.923333333333332,6935037.395344995,18.97369863013698,Región de Tarapacá,1
5,2019,-384617.5576065051,25.680573248407644,6935037.395344995,18.983287671232866,Región de Tarapacá,1
6,2020,-384617.5576065051,23.034352331606218,6935037.395344995,19.238934426229505,Región de Tarapacá,1
7,2021,-384617.5576065051,19.97164,6935037.395344995,19.827900552486188,Región de Tarapacá,1
8,2018,-22879.047946225703,21.371263020833336,7002531.877649047,16.858767123287667,Región de Antofagasta,2
9,2019,-22879.047946225703,23.51201646090535,7002531.877649047,17.022054794520542,Región de Antofagasta,2
10,2020,-22879.047946225703,23.639527754763876,7002531.877649047,17.258516483516487,Región de Antofagasta,2
11,2021,-22879.047946225703,20.656813333333336,7002531.877649047,17.67541436464088,Región de Antofagasta,2
12,2018,410756.1903792776,21.002618181818182,6970180.11307561,15.95591549295775,Región de Atacama,3
13,2019,410756.1903792776,23.92767820773931,6970180.11307561,16.049589041095892,Región de Atacama,3
14,2020,410756.1903792776,22.62795197740113,6970180.11307561,16.25368852459017,Región de Atacama,3
15,2021,410756.1903792776,19.958199074074074,6970180.11307561,16.836740331491722,Región de Atacama,3
16,2018,776474.0721253492,21.332613026819924,6919197.684493619,14.452335164835176,Región de Coquimbo,4
17,2019,776474.0721253492,24.18693283231564,6919197.684493619,14.531780821917812,Región de Coquimbo,4
18,2020,776474.0721253492,22.366995983935745,6919197.684493619,14.6379781420765,Región de Coquimbo,4
19,2021,776474.0721253492,20.061693080182017,6919197.684493619,15.474166666666656,Región de Coquimbo,4
20,2018,1016248.8519790347,19.660351493848857,6939177.198264998,14.554395604395593,Región de Valparaíso,5
21,2019,1016248.8519790347,23.068019900497514,6939177.198264998,14.76157024793389,Región de Valparaíso,5
22,2020,1016248.8519790347,21.93104712041885,6939177.198264998,14.540163934426229,Región de Valparaíso,5
23,2021,1016248.8519790347,20.093083993660855,6939177.198264998,15.084285714285713,Región de Valparaíso,5
24,2018,1103086.8248304394,21.165393550464625,6980848.607254489,16.118630136986308,Región Metropolitana de Santiago,13
25,2019,1103086.8248304394,23.952147778871495,6980848.607254489,16.44328767123288,Región Metropolitana de Santiago,13
26,2020,1103086.8248304394,22.33142208869277,6980848.607254489,16.379781420765042,Región Metropolitana de Santiago,13
27,2021,1103086.8248304394,20.970217884525113,6980848.607254489,16.898895027624306,Región Metropolitana de Santiago,13
28,2018,1199375.586866545,22.240534124629082,6953716.651988269,14.97341597796144,Región del Libertador General Bernardo O'Higgins,6
29,2019,1199375.586866545,22.671342512908776,6953716.651988269,15.461977715877431,Región del Libertador General Bernardo O'Higgins,6
30,2020,1199375.586866545,20.666957470010903,6953716.651988269,15.846260387811643,Región del Libertador General Bernardo O'Higgins,6
31,2021,1199375.586866545,19.72445727482679,6953716.651988269,16.25414364640883,Región del Libertador General Bernardo O'Higgins,6
32,2018,1334371.1534050014,16.51411764705882,6934243.803223687,13.655068493150686,Región del Maule,7
33,2019,1334371.1534050014,22.581704545454546,6934243.803223687,14.17410958904109,Región del Maule,7
34,2020,1334371.1534050014,20.95795918367347,6934243.803223687,14.495342465753415,Región del Maule,7
35,2021,1334371.1534050014,19.520840630472854,6934243.803223687,15.630939226519338,Región del Maule,7
36,2018,1552545.471264535,18.254745260663505,6878077.633367008,13.04342465753424,Región del Biobío,8
37,2019,1552545.471264535,20.82498845265589,6878077.633367008,13.414246575342473,Región del Biobío,8
38,2020,1552545.471264535,21.324039509536785,6878077.633367008,13.334289617486338,Región del Biobío,8
39,2021,1552545.471264535,19.429570917759236,6878077.633367008,14.298066298342542,Región del Biobío,8
40,2018,1677371.2097197913,18.392507122507123,6906367.093494726,11.997477744807128,Región de La Araucanía,9
41,2019,1677371.2097197913,21.862379394930496,6906367.093494726,12.5174094707521,Región de La Araucanía,9
42,2020,1677371.2097197913,20.994585436193223,6906367.093494726,12.417768595041316,Región de La Araucanía,9
43,2021,1677371.2097197913,19.79435318275154,6906367.093494726,14.001657458563534,Región de La Araucanía,9
44,2018,1830057.0278588827,19.480339321357285,6902150.302449883,11.330631868131862,Región de Los Ríos,14
45,2019,1830057.0278588827,21.26935319767442,6902150.302449883,11.42220670391061,Región de Los Ríos,14
46,2020,1830057.0278588827,19.996371398078974,6902150.302449883,11.496174863387974,Región de Los Ríos,14
47,2021,1830057.0278588827,19.317686904164578,6902150.302449883,13.097237569060766,Región de Los Ríos,14
48,2018,2056743.2254549402,18.83479002624672,6908508.620421948,10.461917808219182,Región de Los Lagos,10
49,2019,2056743.2254549402,22.065468409586057,6908508.620421948,10.340410958904114,Región de Los Lagos,10
50,2020,2056743.2254549402,20.014409068982154,6908508.620421948,10.660792349726766,Región de Los Lagos,10
51,2021,2056743.2254549402,19.092463968410662,6908508.620421948,11.938950276243093,Región de Los Lagos,10
