CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;1;15.2;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;2;16.2;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;3;15.9;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;4;15.6;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;5;14.9;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;6;15.1;19.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;7;15.3;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;8;12.4;19.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;9;14.8;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;10;16.6;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;11;16.9;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;12;16.5;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;13;17.3;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;14;17.2;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;15;17.0;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;16;14.9;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;17;17.0;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;18;16.9;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;19;17.2;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;20;17.2;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;21;16.6;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;22;17.2;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;23;16.6;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;24;16.8;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;25;16.7;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;26;16.4;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;27;16.8;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;28;14.8;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;29;16.9;20.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;30;13.7;20.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;10;31;13.6;20.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;1;16.1;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;2;15.5;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;3;15.5;19.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;4;15.2;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;5;14.4;17.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;6;14.7;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;7;14.5;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;8;12.2;18.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;9;14.3;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;10;16.6;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;11;15.9;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;12;15.5;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;13;15.8;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;14;17.0;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;15;16.8;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;16;14.7;19.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;17;15.4;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;18;16.6;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;19;17.1;19.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;20;16.6;20.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;21;17.1;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;22;17.0;19.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;23;16.8;20.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;24;16.8;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;25;16.6;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;26;16.5;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;27;17.0;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;28;16.5;20.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;29;15.5;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;30;16.3;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;10;31;13.5;19.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;1;7.2;26.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;2;5.2;26.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;3;4.8;28.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;4;5.0;29.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;5;5.5;27.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;6;5.4;25.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;7;6.4;25.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;8;7.2;30.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;9;6.0;27.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;10;6.3;27.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;11;4.9;25.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;12;3.3;25.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;13;4.2;25.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;14;5.7;25.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;15;5.2;26.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;16;7.7;28.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;17;8.7;28.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;18;3.8;26.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;19;3.8;25.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;20;4.6;26.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;21;4.8;25.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;22;8.5;27.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;23;7.8;26.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;24;6.3;26.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;25;5.7;25.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;26;5.7;25.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;27;2.7;23.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;28;3.2;23.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;29;2.0;23.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;30;1.8;23.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;10;31;1.8;22.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;1;13.3;16.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;2;12.7;15.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;3;13.4;15.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;4;13.1;16.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;5;12.5;15.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;6;13.0;18.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;7;13.4;16.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;8;13.7;17.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;9;13.5;17.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;10;13.9;17.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;11;14.6;18.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;12;13.3;17.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;13;14.6;18.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;14;14.0;17.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;15;14.6;18.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;16;14.7;17.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;17;14.5;17.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;18;13.8;15.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;19;13.0;16.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;20;13.5;18.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;21;14.6;17.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;22;14.1;17.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;23;12.5;17.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;24;13.0;17.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;25;13.5;17.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;26;14.1;18.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;27;14.8;18.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;28;14.2;18.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;29;14.0;18.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;30;14.6;18.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;10;31;14.3;18.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;1;16.9;23.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;2;17.0;22.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;3;14.9;21.6
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;4;15.4;21.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;5;12.6;21.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;6;16.2;22.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;7;16.9;22.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;8;16.9;22.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;9;16.8;21.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;10;16.9;21.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;11;15.6;21.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;12;16.5;23.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;13;14.7;23.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;14;13.3;23.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;15;16.4;21.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;16;15.8;21.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;17;15.4;20.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;18;15.4;22.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;19;10.3;20.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;20;11.4;22.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;21;10.5;22.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;22;17.7;23.6
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;23;13.8;23.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;24;15.2;24.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;25;14.7;24.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;26;16.2;24.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;27;18.1;21.6
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;28;17.6;24.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;29;18.2;24.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;30;20.0;24.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;10;31;19.4;25.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;1;11.0;17.9
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;2;11.3;16.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;3;9.8;18.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;4;9.0;18.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;5;9.8;18.0
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;6;11.0;16.1
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;7;10.3;18.0
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;10;8;7.7;18.7
